NBA FINALS — Histórico Completo (Temporadas 1-11),,,
,,,
Temporada,Campeão,Vice-Campeão,Placar
1,Memphis River Rougarou,Columbus Sun Warriors,4-3
2,Washburn White Walkers,Memphis River Rougarou,4-1
3,Philadelphia Cheeseheads,Colorado Wildcats,4-0
4,Calgary Mustang Riders,Chicago Rail Foxes,4-2
5,Philadelphia Cheeseheads,Calgary Mustang Riders,4-2
6,Anaheim Nu-Metalheads,Chicago Rail Foxes,4-3
7,Colorado Wildcats,Buffalo Berserkers,4-2
8,Colorado Wildcats,Boston Night Riders,4-1
9,Colorado Wildcats,Nashville Steves,4-2
10,New York Hustles,Colorado Wildcats,4-2
11,Honolulu Tides,Buffalo Berserkers,4-3
