# ELENCOS REAIS — fonte enviada pelo dono do jogo em 23/09/2026.
#
# Formato de cada linha:  Nome | Posição | dd/mm/aaaa (idade) | Nacionalidades | Valor
# Linha que começa com "# CLUBE:" abre o elenco de um clube.
#
# O clube entre parênteses no nome do jogador é o clube DE ORIGEM de quem está
# emprestado — o jogador conta pro elenco do bloco, não pro clube do parêntese.
#
# Este arquivo é a fonte; games/core/fut_importar.php vira elenco do jogo.

# CLUBE: Flamengo
Agustín Rossi | Goleiro | 21/08/1995 (31) | Argentina, Itália | € 10.00 mi.
Andrew | Goleiro | 01/07/2001 (25) | Brasil | € 5.00 mi.
Dyogo Alves | Goleiro | 09/01/2004 (22) | Brasil | € 400 mil
Léo Ortiz | Zagueiro | 03/01/1996 (30) | Brasil, Itália | € 12.00 mi.
Léo Pereira | Zagueiro | 31/01/1996 (30) | Brasil | € 12.00 mi.
Vitão | Zagueiro | 02/02/2000 (26) | Brasil | € 10.00 mi.
Danilo | Zagueiro | 15/07/1991 (35) | Brasil | € 2.00 mi.
João Souza | Zagueiro | 01/01/2007 (19) | Brasil | € 800 mil
Ayrton Lucas | Lateral Esq. | 19/06/1997 (29) | Brasil | € 4.00 mi.
Alex Sandro | Lateral Esq. | 26/01/1991 (35) | Brasil | € 1.00 mi.
Emerson Royal | Lateral Dir. | 14/01/1999 (27) | Brasil | € 5.00 mi.
Guillermo Varela | Lateral Dir. | 24/03/1993 (33) | Uruguai, Itália | € 1.00 mi.
Evertton Araújo | Volante | 28/02/2003 (23) | Brasil | € 10.00 mi.
Erick Pulgar | Volante | 15/01/1994 (32) | Chile | € 4.50 mi.
Jorginho | Volante | 20/12/1991 (34) | Itália, Brasil | € 4.00 mi.
Nicolás de la Cruz | Meia Central | 01/06/1997 (29) | Uruguai, Argentina | € 8.00 mi.
Saúl Ñíguez | Meia Central | 21/11/1994 (31) | Espanha | € 1.00 mi.
Lucas Paquetá | Meia Ofensivo | 27/08/1997 (29) | Brasil, Portugal | € 32.00 mi.
Giorgian de Arrascaeta | Meia Ofensivo | 01/06/1994 (32) | Uruguai, Itália | € 14.00 mi.
Jorge Carrascal | Meia Ofensivo | 25/05/1998 (28) | Colômbia | € 13.00 mi.
Samuel Lino | Ponta Esquerda | 23/12/1999 (26) | Brasil | € 15.00 mi.
Gonzalo Plata | Ponta Direita | 01/11/2000 (25) | Equador | € 9.00 mi.
Luiz Araújo | Ponta Direita | 02/06/1996 (30) | Brasil | € 7.00 mi.
Anthony Valencia (Royal Antuérpia FC) | Ponta Direita | 21/07/2003 (23) | Equador | € 1.80 mi.
Pedro | Centroavante | 20/06/1997 (29) | Brasil | € 20.00 mi.
Joaquín Freitas (CA River Plate) | Centroavante | 02/12/2006 (19) | Argentina | € 1.00 mi.
Bruno Henrique | Centroavante | 30/12/1990 (35) | Brasil | € 750 mil

# CLUBE: Cruzeiro
# ATENÇÃO: veio rotulado "Avaí FC / Diversos" na fonte, mas o elenco é do
# Cruzeiro (Cássio, Fabrício Bruno, Kaio Jorge, Matheus Pereira, Sinisterra).
# Confirmar com o dono do jogo antes de considerar fechado.
